
Id,AzureCostCalculationId,CalculationGroupId,CreatedAt,Margin,MarginPercent,PeriodNumber
1,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.9423865,6001.81,87.04,1
2,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.9483118,6939.31,88.59,2
3,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.9483963,7876.81,89.81,3
4,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.948411,8814.31,90.79,4
5,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.9484278,9751.81,91.6,5
6,1,CAD97ABC-40C0-4959-AFCA-8E845FBFCC7D,2026-05-08 08:29:15.9484385,10689.31,92.28,6

7,2,395210FB-5AB6-4F36-A38B-02FB7927A893,2026-05-08 08:31:02.2231022,6050.12,94.9,1
8,2,395210FB-5AB6-4F36-A38B-02FB7927A893,2026-05-08 08:31:02.2235665,6050.12,94.9,2
